 [451.2, 439.2]
 [397.2, 453.6]
 [452.4, 409.2]
 [475.2, 108]
 [512.4, 86.4]
 [496.8, 76.8]
 [69.60001, 244.8]
 [56.4, 244.8]
 [268.8, 105.6]
 [246, 91.2]
 [607.2, 436.8]
 [564, 433.2]
 [609.6, 414]
 [565.2, 430.8]
 [256.8, 162]
 [607.2, 250.8]
 [31.2, 121.2]
 [92.4, 79.2]
 [51.6, 79.2]
 [416.4, 78]
 [133.2, 84]
 [108, 81.60001]
 [517.2, 252]
 [489.6, 229.2]
 [531.6, 200.4]
 [495.6, 201.6]
 [88.8, 163.2]
 [26.4, 182.4]
 [87.60001, 156]
 [409.2, 234]
 [450, 210]
 [579.6, 90]
 [288, 38.4]
 [246, 44.4]
 [469.2, 312]
 [406.8, 312]
 [376.8, 204]
 [384, 270]
 [340.8, 259.2]
 [368.4, 162]
 [363.6, 150]
 [240, 157.2]
 [201.6, 156]
 [108, 234]
 [104.4, 184.8]
 [237.6, 212.4]
 [94.8, 175.2]
 [470.4, 444]
 [303.6, 280.8]
 [72, 454.8]
 [288, 408]
 [484.8, 159.6]
 [141.6, 64.8]
 [437.76, 341.28]
 [463.68, 325.44]
 [446.4, 332.64]
 [315.36, 66.24001]
 [312.48, 59.04]
 [300.96, 56.16]
 [604.8, 83.52]
 [597.6, 80.64]
 [463.68, 233.28]
 [447.84, 227.52]
 [453.6, 221.76]
 [443.52, 218.88]
 [227.52, 205.92]
 [220.32, 201.6]
 [213.12, 197.28]
 [151.2, 119.52]
 [156.96, 115.2]
 [145.44, 116.64]
 [99.36, 148.32]
 [122.4, 139.68]
 [112.32, 138.24]
 [164.16, 218.88]
 [144, 223.2]
 [339.84, 259.2]
 [344.16, 249.12]
 [430.56, 347.04]
 [406.08, 341.28]
 [413.28, 328.32]
 [408.96, 332.64]
 [498.24, 266.4]
 [488.16, 250.56]
 [480.96, 247.68]
 [267.84, 155.52]
 [262.08, 152.64]
 [254.88, 144]
 [440.64, 120.96]
 [450.72, 106.56]
 [442.08, 106.56]
 [240.48, 158.4]
 [226.08, 146.88]
 [233.28, 142.56]
 [221.76, 145.44]
 [156.96, 182.88]
 [146.88, 181.44]
 [158.4, 165.6]
 [152.64, 161.28]
 [168.48, 205.92]
 [148.32, 213.12]
 [156.96, 188.64]
 [141.12, 64.8]
 [76.32, 371.52]
 [394.56, 293.76]
 [401.76, 243.36]
 [220.32, 108]
 [221.76, 84.96001]
 [119.52, 250.56]
 [444.96, 437.76]
 [452.16, 408.96]
 [165.6, 336.96]
 [105.12, 335.52]
 [285.12, 217.44]
 [273.6, 218.88]
 [545.76, 239.04]
 [570.2401, 213.12]
 [230.4, 70.56001]
 [234.72, 48.96]
 [40.32, 74.88]
 [90.72, 34.56]
 [606.2401, 436.32]
 [564.48, 432]
 [609.12, 414.72]
 [515.52, 73.44]
 [479.52, 67.68]
 [606.2401, 250.56]
 [561.6, 247.68]
 [306.72, 84.96001]
 [335.52, 394.56]
 [393.12, 349.92]
 [321.12, 361.44]
 [387.36, 321.12]
 [339.84, 311.04]
 [328.32, 69.12]
 [489.6, 228.96]
 [529.92, 198.72]
 [493.92, 200.16]
 [586.08, 180]
 [571.68, 175.68]
 [599.04, 135.36]
 [306.72, 384.48]
 [316.8, 362.88]
 [249.12, 351.36]
 [607.6801, 388.8]
 [576, 385.92]
 [587.52, 365.76]
 [480.96, 322.56]
 [485.28, 306.72]
 [365.76, 105.12]
 [358.56, 100.8]
 [341.28, 90.72]
 [326.88, 218.88]
 [325.44, 211.68]
 [473.76, 108]
 [511.2, 86.4]
 [468, 103.68]
 [70.56001, 243.36]
 [56.16, 243.36]
 [33.12, 131.04]
 [90.72, 79.2]
 [51.84, 79.2]
 [93.60001, 233.28]
 [84.96001, 205.92]
 [87.84, 162.72]
 [48.96, 180]
 [87.84, 156.96]
 [36, 133.92]
 [495.36, 277.92]
 [516.96, 257.76]
 [289.44, 185.76]
 [257.76, 161.28]
 [139.68, 86.4]
 [132.48, 82.08]
 [408.96, 233.28]
 [449.28, 201.6]
 [450.72, 103.68]
 [416.16, 77.76]
 [288, 38.88]
 [246.24, 44.64]
 [368.64, 161.28]
 [332.64, 169.92]
 [362.88, 149.76]
 [322.56, 145.44]
 [554.4, 108]
 [578.88, 90.72]
 [241.92, 214.56]
 [184.32, 216]
 [171.36, 191.52]
 [336.96, 277.92]
 [372.96, 244.8]
 [214.56, 161.28]
 [191.52, 162.72]
 [201.6, 156.96]
 [97.92001, 174.24]
 [158.4, 158.4]
 [108, 233.28]
 [459.36, 396]
 [156.96, 349.92]
 [288, 407.52]
 [224.64, 420.48]
