 [57.6, 217.2]
 [56.4, 232.8]
 [57.6, 193.2]
 [42, 184.8]
 [518.4, 158.4]
 [471.6, 165.6]
 [511.2, 144]
 [505.2, 138]
 [368.4, 294]
 [355.2, 285.6]
 [367.2, 265.2]
 [339.6, 262.8]
 [388.8, 178.8]
 [357.6, 168]
 [375.6, 146.4]
 [352.8, 144]
 [57.6, 402]
 [25.2, 404.4]
 [34.8, 373.2]
 [136.8, 116.4]
 [103.2, 122.4]
 [298.8, 346.8]
 [264, 339.6]
 [284.4, 303.6]
 [258, 321.6]
 [464.4, 103.2]
 [430.8, 114]
 [468, 100.8]
 [421.2, 94.8]
 [63.6, 169.2]
 [30, 183.6]
 [61.2, 134.4]
 [44.4, 133.2]
 [85.2, 116.4]
 [44.4, 124.8]
 [40.8, 93.60001]
 [591.6, 450]
 [561.6, 448.8]
 [613.2, 432]
 [553.2, 421.2]
 [346.8, 295.2]
 [132, 302.4]
 [159.6, 294]
 [243.6, 283.2]
 [122.4, 429.6]
 [124.8, 381.6]
 [232.8, 360]
 [517.2, 34.8]
 [602.4, 223.2]
 [578.4, 132]
 [274.8, 73.2]
 [172.8, 60]
 [267.6, 207.6]
 [95.04, 131.04]
 [74.88, 131.04]
 [95.04, 106.56]
 [67.68, 113.76]
 [133.92, 126.72]
 [103.68, 122.4]
 [125.28, 115.2]
 [115.2, 113.76]
 [610.56, 322.56]
 [609.12, 302.4]
 [312.48, 401.76]
 [263.52, 349.92]
 [586.08, 364.32]
 [161.28, 293.76]
 [227.52, 216]
 [120.96, 329.76]
 [131.04, 302.4]
 [233.28, 358.56]
 [519.84, 430.56]
 [480.96, 430.56]
 [155.52, 53.28]
 [241.92, 180]
 [227.52, 158.4]
 [243.36, 70.56001]
 [197.28, 64.8]
 [339.84, 341.28]
 [364.32, 298.08]
 [347.04, 295.2]
 [466.56, 339.84]
 [452.16, 305.28]
 [427.68, 300.96]
 [385.92, 211.68]
 [342.72, 105.12]
 [349.92, 100.8]
 [203.04, 99.36]
 [311.04, 128.16]
 [247.68, 120.96]
 [302.4, 86.4]
 [120.96, 447.84]
 [122.4, 429.12]
 [375.84, 361.44]
 [332.64, 372.96]
 [92.16, 47.52]
 [31.68, 33.12]
 [283.68, 269.28]
 [280.8, 272.16]
 [282.24, 266.4]
 [283.68, 450.72]
 [272.16, 444.96]
 [308.16, 413.28]
 [270.72, 180]
 [288, 152.64]
 [387.36, 449.28]
 [334.08, 434.88]
 [361.44, 404.64]
 [334.08, 427.68]
 [272.16, 224.64]
 [267.84, 205.92]
 [80.64, 329.76]
 [33.12, 344.16]
 [84.96001, 298.08]
 [34.56, 295.2]
 [367.2, 293.76]
 [347.04, 293.76]
 [325.44, 246.24]
 [126.72, 164.16]
 [129.6, 135.36]
 [460.8, 443.52]
 [398.88, 440.64]
 [463.68, 429.12]
 [411.84, 407.52]
 [519.84, 162.72]
 [511.2, 142.56]
 [472.32, 141.12]
 [82.08, 286.56]
 [34.56, 293.76]
 [41.76, 244.8]
 [237.6, 318.24]
 [198.72, 305.28]
 [77.76, 442.08]
 [28.8, 432]
 [60.48, 410.4]
 [27.36, 417.6]
 [378.72, 165.6]
 [372.96, 144]
 [351.36, 144]
 [443.52, 400.32]
 [403.2, 400.32]
 [460.8, 348.48]
 [410.4, 362.88]
 [459.36, 288]
 [424.8, 292.32]
 [465.12, 256.32]
 [403.2, 266.4]
 [531.36, 380.16]
 [499.68, 400.32]
 [506.88, 368.64]
 [470.88, 360]
 [459.36, 239.04]
 [424.8, 231.84]
 [439.2, 197.28]
 [406.08, 194.4]
 [83.52, 230.4]
 [56.16, 231.84]
 [84.96001, 211.68]
 [28.8, 188.64]
 [529.92, 218.88]
 [492.48, 231.84]
 [525.6, 200.16]
 [480.96, 195.84]
 [508.32, 125.28]
 [502.56, 126.72]
 [529.92, 292.32]
 [470.88, 286.56]
 [531.36, 262.08]
 [492.48, 244.8]
 [27.36, 385.92]
 [31.68, 364.32]
 [521.28, 325.44]
 [486.72, 341.28]
 [514.08, 315.36]
 [483.84, 299.52]
 [465.12, 131.04]
 [430.56, 113.76]
 [466.56, 100.8]
 [403.2, 92.16]
 [136.8, 116.64]
 [63.36, 168.48]
 [41.76, 184.32]
 [61.92, 133.92]
 [44.64, 133.92]
 [48.96, 131.04]
 [67.68, 103.68]
 [44.64, 100.8]
 [432, 165.6]
 [406.08, 169.92]
 [456.48, 142.56]
 [429.12, 152.64]
 [298.08, 345.6]
 [263.52, 331.2]
 [283.68, 302.4]
 [257.76, 319.68]
 [581.76, 450.72]
 [561.6, 447.84]
 [600.48, 420.48]
 [552.96, 420.48]
 [243.36, 282.24]
 [123.84, 388.8]
 [573.12, 97.92001]
 [584.64, 48.96]
 [275.04, 72]
 [528.7681, 311.04]
 [513.2161, 316.224]
 [530.496, 297.216]
 [514.944, 305.856]
 [131.328, 126.144]
 [103.68, 122.688]
 [136.512, 117.504]
 [114.048, 114.048]
 [120.96, 428.544]
 [122.688, 402.624]
 [32.832, 43.2]
 [387.072, 205.632]
 [243.648, 174.528]
 [376.704, 362.88]
 [233.28, 359.424]
 [207.36, 93.31201]
 [271.296, 445.824]
 [311.04, 404.3521]
 [172.8, 60.48001]
 [164.16, 53.568]
 [271.296, 226.368]
 [267.84, 207.36]
 [271.296, 179.712]
 [286.848, 153.792]
 [361.152, 292.032]
 [345.6, 286.848]
 [494.208, 235.008]
 [525.3121, 188.352]
 [596.16, 399.168]
 [540.8641, 399.168]
 [585.7921, 364.608]
 [539.136, 373.248]
 [283.392, 269.568]
 [279.936, 271.296]
 [281.664, 266.112]
 [438.912, 231.552]
 [406.08, 228.096]
 [438.912, 191.808]
 [421.632, 191.808]
 [366.336, 293.76]
 [347.328, 293.76]
 [129.6, 145.152]
 [333.504, 435.4561]
 [361.152, 406.08]
 [445.824, 293.76]
 [428.544, 302.4]
 [518.4, 432]
 [489.024, 432]
 [499.3921, 400.896]
 [120.96, 330.048]
 [145.152, 298.944]
 [131.328, 302.4]
 [55.29601, 233.28]
 [86.40001, 200.448]
 [57.02401, 193.536]
 [381.888, 108.864]
 [392.256, 101.952]
 [349.056, 100.224]
 [532.2241, 380.16]
 [506.304, 369.792]
 [77.76001, 442.368]
 [32.832, 432]
 [57.02401, 402.624]
 [502.8481, 126.144]
 [495.936, 120.96]
 [475.2, 105.408]
 [437.1841, 399.168]
 [411.264, 362.88]
 [442.368, 404.3521]
 [411.264, 407.808]
 [233.28, 321.408]
 [238.464, 319.68]
 [79.48801, 290.304]
 [43.2, 285.12]
 [39.744, 241.92]
 [81.21601, 331.776]
 [34.56001, 343.872]
 [84.672, 298.944]
 [34.56001, 293.76]
 [32.832, 374.976]
 [32.832, 366.336]
 [456.192, 292.032]
 [425.088, 292.032]
 [432, 241.92]
 [406.08, 260.928]
 [378.432, 165.888]
 [376.704, 139.968]
 [352.512, 143.424]
 [518.4, 165.888]
 [466.5601, 179.712]
 [511.488, 143.424]
 [95.04001, 164.16]
 [62.20801, 171.072]
 [70.84801, 134.784]
 [44.92801, 134.784]
 [430.272, 114.048]
 [395.712, 122.688]
 [442.368, 100.224]
 [426.816, 93.31201]
 [139.968, 112.32]
 [520.1281, 324.864]
 [528.7681, 292.032]
 [470.0161, 286.848]
 [530.496, 262.656]
 [492.48, 245.376]
 [597.8881, 444.096]
 [558.144, 445.824]
 [589.248, 425.088]
 [552.9601, 421.632]
 [430.272, 186.624]
 [406.08, 169.344]
 [456.192, 143.424]
 [397.44, 148.608]
 [297.216, 345.6]
 [262.656, 331.776]
 [283.392, 304.128]
 [257.472, 319.68]
 [95.04001, 131.328]
 [48.384, 131.328]
 [69.12001, 103.68]
 [44.92801, 101.952]
 [243.648, 281.664]
 [262.656, 350.784]
 [248.832, 120.96]
 [278.208, 72.576]
 [226.368, 236.736]
 [95.38561, 130.6368]
 [74.64961, 130.6368]
 [103.68, 122.3424]
 [87.09121, 116.1216]
 [128.5632, 134.784]
 [122.3424, 130.6368]
 [136.8576, 116.1216]
 [105.7536, 111.9744]
 [263.3472, 340.0704]
 [284.0833, 319.3344]
 [257.1264, 319.3344]
 [273.7152, 437.5297]
 [313.1136, 402.2784]
 [335.9232, 111.9744]
 [350.4384, 99.53281]
 [387.7632, 205.2864]
 [532.9153, 238.464]
 [493.5169, 232.2432]
 [279.936, 271.6416]
 [294.4512, 261.2737]
 [282.0096, 265.4208]
 [333.8496, 433.3824]
 [362.8801, 404.3521]
 [80.87041, 329.7025]
 [43.5456, 340.0704]
 [85.01761, 298.5984]
 [80.87041, 290.304]
 [43.5456, 284.0833]
 [39.39841, 240.5376]
 [346.2913, 286.1568]
 [234.3168, 356.6592]
 [120.2688, 329.7025]
 [132.7104, 302.7456]
 [379.4688, 165.888]
 [358.7328, 151.3728]
 [352.5121, 143.0784]
 [439.6033, 230.1696]
 [414.7201, 228.096]
 [398.1313, 196.992]
 [55.98721, 232.2432]
 [43.5456, 190.7712]
 [360.8065, 292.3777]
 [348.3648, 292.3777]
 [58.06081, 420.9409]
 [60.13441, 408.4993]
 [39.39841, 373.248]
 [43.5456, 348.3648]
 [431.3089, 132.7104]
 [396.0576, 122.3424]
 [396.0576, 91.23841]
 [296.5248, 344.2177]
 [273.7152, 344.2177]
 [95.38561, 163.8144]
 [62.20801, 170.0352]
 [74.64961, 161.7408]
 [445.8241, 292.3777]
 [425.0881, 292.3777]
 [468.6337, 178.3296]
 [512.1793, 143.0784]
 [505.9585, 124.416]
 [499.7377, 120.2688]
 [476.9281, 105.7536]
 [406.4257, 170.0352]
 [458.2657, 136.8576]
 [420.9409, 136.8576]
 [443.7505, 402.2784]
 [412.6465, 406.4257]
 [244.6848, 174.1824]
 [213.5808, 163.8144]
 [219.8016, 161.7408]
 [232.2432, 319.3344]
 [240.5376, 317.2608]
 [211.5072, 306.8929]
 [534.9889, 379.4688]
 [470.7073, 387.7632]
 [508.0321, 369.1009]
 [483.1489, 354.5857]
 [553.6513, 427.1617]
 [599.2705, 410.5728]
 [547.4305, 406.4257]
 [456.1921, 290.304]
 [398.1313, 267.4944]
 [406.4257, 261.2737]
 [520.4737, 288.2304]
 [470.7073, 286.1568]
 [532.9153, 263.3472]
 [493.5169, 242.6112]
 [516.3265, 319.3344]
 [468.6337, 337.9969]
 [514.2529, 313.1136]
 [431.3089, 381.5424]
 [431.3089, 344.2177]
 [410.5728, 362.8801]
 [288.2304, 323.4817]
 [288.2304, 313.1136]
 [284.0833, 302.7456]
 [45.61921, 134.784]
 [103.68, 107.8272]
 [45.61921, 101.6064]
 [499.7377, 400.2049]
 [541.2097, 371.1744]
 [244.6848, 279.936]
 [122.3424, 427.1617]
 [128.5632, 145.152]
 [271.6416, 223.9488]
 [300.672, 136.8576]
 [277.8624, 70.50241]
 [450.386, 306.0634]
 [432.9677, 303.5751]
 [450.386, 291.1335]
 [427.9911, 291.1335]
 [241.3671, 174.1824]
 [298.5984, 144.3226]
 [355.8298, 278.6919]
 [323.4817, 288.6452]
 [330.9466, 430.4794]
 [360.8065, 405.5962]
 [293.6218, 263.762]
 [281.1802, 261.2737]
 [59.71969, 169.2058]
 [74.64961, 161.7408]
 [126.9043, 144.3226]
 [530.0122, 266.2503]
 [84.60289, 298.5984]
 [378.2247, 166.7175]
 [353.3415, 141.8343]
 [271.2269, 427.9911]
 [311.04, 405.5962]
 [383.2013, 139.3459]
 [388.178, 102.0211]
 [350.8532, 99.53281]
 [534.9889, 380.713]
 [425.5028, 209.0189]
 [423.0145, 191.6007]
 [465.3159, 181.6474]
 [510.1057, 141.8343]
 [507.6173, 378.2247]
 [427.9911, 403.1079]
 [398.1313, 405.5962]
 [502.6407, 233.9021]
 [492.6874, 231.4138]
 [490.1991, 213.9955]
 [54.74305, 233.9021]
 [54.74305, 213.9955]
 [124.416, 330.9466]
 [119.4394, 301.0868]
 [233.9021, 358.3181]
 [452.8743, 286.1568]
 [398.1313, 266.2503]
 [405.5962, 261.2737]
 [54.74305, 420.5262]
 [59.71969, 408.0845]
 [238.8788, 318.505]
 [209.0189, 306.0634]
 [559.8721, 418.0378]
 [547.4305, 408.0845]
 [293.6218, 343.3882]
 [271.2269, 345.8765]
 [447.8977, 176.6707]
 [403.1079, 174.1824]
 [360.8065, 293.6218]
 [348.3648, 293.6218]
 [522.5473, 283.6685]
 [467.8042, 286.1568]
 [492.6874, 243.8554]
 [134.3693, 116.9511]
 [134.3693, 111.9744]
 [442.921, 124.416]
 [420.5262, 136.8576]
 [425.5028, 92.06786]
 [393.1546, 102.0211]
 [430.4794, 368.2714]
 [395.6429, 370.7597]
 [430.4794, 345.8765]
 [415.5495, 363.2948]
 [398.1313, 291.1335]
 [515.0823, 330.9466]
 [515.0823, 313.5284]
 [460.3393, 291.1335]
 [293.6218, 318.505]
 [263.762, 328.4583]
 [266.2503, 306.0634]
 [102.0211, 121.9277]
 [47.27809, 134.3693]
 [47.27809, 102.0211]
 [378.2247, 363.2948]
 [500.1524, 400.6196]
 [243.8554, 278.6919]
 [121.9277, 425.5028]
 [530.0122, 238.8788]
 [301.0868, 136.8576]
 [204.0423, 94.55618]
 [271.2269, 223.9488]
 [490.1991, 114.4627]
 [74.64961, 331.4443]
 [86.59355, 298.5984]
 [80.62158, 292.6265]
 [59.71969, 409.0799]
 [56.73371, 400.1219]
 [241.8647, 173.1871]
 [424.0098, 92.56552]
 [415.0518, 92.56552]
 [361.3041, 298.5984]
 [349.3602, 292.6265]
 [355.3322, 277.6966]
 [346.3742, 286.6545]
 [125.4114, 143.3273]
 [134.3693, 116.4534]
 [125.4114, 331.4443]
 [119.4394, 301.5844]
 [447.8977, 271.7246]
 [397.136, 265.7526]
 [426.9958, 241.8647]
 [409.0799, 250.8227]
 [238.8788, 319.5003]
 [209.0189, 310.5424]
 [409.0799, 409.0799]
 [441.9257, 403.1079]
 [394.15, 406.0939]
 [513.5894, 313.5284]
 [516.5753, 292.6265]
 [459.8416, 292.6265]
 [429.9818, 370.2621]
 [415.0518, 364.2901]
 [429.9818, 346.3742]
 [403.1079, 349.3602]
 [450.8837, 292.6265]
 [397.136, 295.6125]
 [522.5473, 280.6826]
 [468.7996, 286.6545]
 [492.6874, 241.8647]
 [468.7996, 241.8647]
 [292.6265, 343.3882]
 [271.7246, 346.3742]
 [286.6545, 328.4583]
 [253.8087, 319.5003]
 [265.7526, 307.5564]
 [80.62158, 137.3553]
 [104.5095, 107.4954]
 [74.64961, 110.4814]
 [525.5333, 307.5564]
 [531.5052, 265.7526]
 [361.3041, 406.0939]
 [379.22, 364.2901]
 [549.4211, 415.0518]
 [498.6594, 400.1219]
 [534.4912, 379.22]
 [504.6314, 382.206]
 [280.6826, 262.7666]
 [310.5424, 406.0939]
 [232.9068, 358.3181]
 [391.164, 101.5235]
 [352.3462, 143.3273]
 [424.0098, 209.0189]
 [385.192, 209.0189]
 [421.0238, 191.103]
 [358.3181, 149.2992]
 [492.6874, 229.9208]
 [522.5473, 173.1871]
 [298.5984, 137.3553]
 [280.6826, 68.67764]
 [203.047, 92.56552]
 [56.73371, 194.089]
 [59.71969, 170.2011]
 [271.7246, 226.9348]
 [292.6265, 149.2992]
 [489.7015, 116.4534]
 [236.49, 354.735]
 [254.4059, 343.9854]
 [240.0732, 340.4023]
 [286.6545, 329.6527]
 [265.1554, 326.0695]
 [257.9891, 318.9032]
 [494.4791, 229.3236]
 [490.8959, 211.4077]
 [75.24681, 164.8264]
 [501.6454, 401.3163]
 [508.8118, 379.8173]
 [132.5777, 311.7368]
 [128.9945, 293.8209]
 [125.4114, 143.3273]
 [136.1609, 111.0786]
 [447.8977, 250.8227]
 [401.3163, 261.5723]
 [515.9781, 272.3218]
 [462.2304, 283.0714]
 [472.98, 254.4059]
 [358.3182, 286.6545]
 [351.1518, 290.2377]
 [533.894, 265.1554]
 [530.3109, 254.4059]
 [515.9781, 300.9872]
 [469.3968, 286.6545]
 [229.3236, 315.32]
 [207.8245, 311.7368]
 [211.4077, 308.1536]
 [75.24681, 326.0695]
 [118.245, 300.9872]
 [85.99636, 300.9872]
 [293.8209, 340.4023]
 [265.1554, 347.5686]
 [444.3145, 315.32]
 [447.8977, 290.2377]
